"Order","Price","LotFrontage","LotArea","LotConfig","HouseStyle","Quality","Condition","YearBuilt","YearRemodel","ExteriorQ","ExteriorC","Foundation","BasementHt","BasementC","BasementFin","BasementFinSF","BasementUnFinSF","BasementSF","Heating","HeatingQC","CentralAir","FirstSF","SecondSF","GroundSF","BasementFBath","BasementHBath","FullBath","HalfBath","Bedroom","KitchenQ","TotalRooms","Fireplaces","GarageType","GarageCars","GarageSF","GarageQ","GarageC","WoodDeckSF","OpenPorchSF","EnclosedPorchSF","ScreenPorchSF"
792,154.4,50,9350,"Inside","2Story",6,7,1946,1950,"TA","TA","CBlock","TA","TA","BLQ",342,405,747,"GasA","Ex","Y",892,747,1639,0,0,1,1,3,"Gd",6,1,"Detchd",1,240,"TA","TA",0,50,0,0
2083,150,42,7711,"Inside","1Story",4,3,1977,1977,"TA","TA","PConc","Gd","TA","GLQ",1440,0,1440,"GasA","TA","Y",1440,0,1440,2,0,2,0,4,"TA",8,0,"None",0,0,"None","None",321,0,0,0
880,293.2,85,10200,"Inside","1Story",8,5,2007,2007,"Gd","TA","PConc","Gd","TA","GLQ",1478,100,1578,"GasA","Ex","Y",1602,0,1602,1,0,2,0,3,"Gd",7,1,"Attchd",3,810,"TA","TA",0,48,0,195
1977,89.5,56,4480,"Corner","1Story",5,5,1922,1950,"TA","TA","PConc","Fa","Fa","LwQ",782,240,1022,"GasA","TA","N",1022,0,1022,1,0,1,0,2,"Fa",4,1,"Detchd",1,184,"TA","Fa",0,122,20,0
2820,127.5,38,7840,"CulDSac","SFoyer",6,5,1975,1975,"TA","TA","CBlock","Gd","TA","GLQ",976,0,976,"GasA","TA","Y",1012,0,1012,0,2,2,0,4,"TA",4,0,"None",0,0,"None","None",0,0,0,0
676,133,60,12144,"Inside","1Story",5,7,1949,1950,"Gd","TA","CBlock","TA","TA","Rec",375,457,832,"GasA","Gd","Y",1036,0,1268,0,0,1,0,3,"TA",6,1,"Attchd",1,288,"TA","TA",0,28,0,0
2772,193,0,8685,"CulDSac","1Story",7,5,1998,1998,"TA","TA","PConc","Gd","TA","GLQ",846,579,1425,"GasA","Ex","Y",1425,0,1425,1,0,2,0,3,"TA",5,0,"Attchd",2,591,"TA","TA",0,130,0,0
2801,274.3,75,9750,"Corner","2Story",7,6,1998,1998,"TA","TA","PConc","Gd","TA","GLQ",975,133,1108,"GasA","Ex","Y",1108,989,2097,1,0,2,1,3,"Gd",8,1,"Detchd",2,583,"TA","TA",253,170,0,0
907,159.434,55,4500,"Inside","1.5Fin",5,5,1932,2000,"TA","TA","BrkTil","TA","TA","Rec",182,611,793,"GasA","Ex","Y",848,672,1520,0,0,1,0,3,"TA",6,0,"Detchd",1,281,"TA","TA",0,0,56,0
707,93,50,6000,"Inside","1.5Fin",5,4,1954,1954,"TA","TA","CBlock","TA","TA","Unf",0,811,811,"GasA","TA","Y",811,576,1387,0,0,2,0,3,"Gd",7,0,"BuiltIn",1,256,"TA","TA",0,0,0,0
2285,134,44,4224,"Inside","1Story",5,5,1976,1976,"TA","TA","PConc","Gd","TA","ALQ",874,268,1142,"GasA","TA","Y",1142,0,1142,1,0,1,1,3,"TA",6,1,"Attchd",2,528,"TA","TA",536,90,0,0
2324,183.5,0,8076,"Inside","1Story",6,6,1993,1994,"TA","TA","PConc","Gd","TA","GLQ",705,455,1160,"GasA","Gd","Y",1169,0,1169,0,1,2,0,3,"TA",6,1,"Attchd",2,402,"TA","TA",0,26,0,144
2000,152,40,5400,"Corner","1Story",6,7,1926,2004,"TA","Gd","BrkTil","TA","TA","LwQ",370,779,1149,"GasA","Gd","Y",1149,467,1616,0,0,2,0,3,"Gd",5,0,"Detchd",1,216,"TA","TA",0,0,183,0
262,128.2,75,10650,"Corner","1Story",5,6,1976,1976,"TA","TA","CBlock","TA","Gd","LwQ",182,0,894,"GasA","TA","Y",894,0,894,1,0,1,0,3,"TA",5,0,"Attchd",1,308,"TA","TA",365,0,0,0
2063,143.5,71,8197,"Inside","1Story",6,5,1977,1977,"TA","TA","CBlock","TA","TA","Unf",0,660,660,"GasA","Ex","Y",1285,0,1285,0,0,1,1,3,"TA",7,1,"Attchd",2,528,"TA","TA",138,0,0,0
1425,248.5,65,9345,"Inside","1Story",8,5,2007,2007,"Gd","TA","PConc","Gd","TA","Unf",0,1615,1615,"GasA","Ex","Y",1615,0,1615,0,0,2,0,3,"Gd",7,1,"Attchd",3,864,"TA","TA",168,30,0,0
144,148,73,8760,"Inside","1Story",6,6,1959,1959,"TA","TA","CBlock","TA","TA","Unf",0,1194,1194,"GasA","TA","Y",1194,0,1194,1,0,1,0,3,"TA",6,0,"Attchd",1,312,"TA","TA",0,0,120,0
2608,159.95,85,13400,"Inside","SLvl",5,5,1966,1966,"TA","TA","CBlock","TA","TA","ALQ",516,380,1024,"GasA","TA","Y",1086,0,1086,1,0,1,0,3,"TA",6,1,"Attchd",2,484,"TA","TA",0,0,0,0
2679,88,51,6120,"Inside","1Story",5,7,1925,1950,"TA","TA","BrkTil","TA","TA","Rec",489,279,768,"GasA","TA","N",1015,0,1015,0,0,1,0,3,"TA",6,0,"Detchd",1,450,"TA","TA",0,0,112,120
1684,129.25,65,7150,"Inside","1Story",5,6,1966,1966,"TA","TA","CBlock","TA","TA","BLQ",725,263,988,"GasA","TA","Y",988,0,988,1,0,1,0,3,"TA",5,0,"Detchd",1,360,"TA","TA",0,0,0,0
200,138.4,52,6240,"Inside","1.5Fin",5,5,1930,1950,"TA","TA","BrkTil","TA","TA","LwQ",448,480,928,"GasA","TA","Y",928,608,1536,0,0,2,0,4,"TA",7,1,"Detchd",2,480,"TA","TA",0,10,0,0
1009,189,40,4671,"Inside","1Story",8,5,1988,1989,"Gd","TA","PConc","Gd","TA","GLQ",767,461,1228,"GasA","Gd","Y",1228,0,1228,1,0,2,0,2,"Gd",5,1,"Attchd",2,472,"TA","TA",168,120,0,0
2790,255,90,11367,"Corner","2Story",8,5,2002,2002,"Gd","TA","PConc","Gd","TA","GLQ",932,133,1065,"GasA","Ex","Y",1091,898,1989,1,0,2,1,3,"Gd",7,1,"Attchd",2,586,"TA","TA",199,60,0,0
35,120,24,2280,"FR2","1Story",7,6,1975,1975,"TA","TA","CBlock","Gd","TA","Unf",0,836,836,"GasA","Ex","Y",836,0,836,0,0,1,0,2,"TA",4,0,"Attchd",1,308,"TA","TA",0,30,0,0
2577,162,0,9610,"Corner","1Story",6,6,1958,1958,"TA","TA","CBlock","TA","TA","Rec",203,918,1121,"GasA","Ex","Y",1336,0,1336,0,0,1,1,3,"TA",7,1,"Attchd",2,488,"TA","TA",80,0,0,0
304,110,50,9140,"Inside","1.5Fin",6,5,1921,1975,"TA","TA","BrkTil","TA","TA","BLQ",308,321,629,"GasA","Fa","Y",727,380,1107,0,0,1,0,2,"TA",5,0,"Detchd",1,625,"TA","TA",0,56,0,200
1870,255,78,10530,"Inside","2Story",7,6,1993,1993,"Gd","TA","PConc","Gd","TA","GLQ",819,329,1148,"GasA","Ex","Y",1091,984,2075,1,0,2,1,3,"Gd",8,1,"Attchd",2,473,"TA","TA",235,86,0,0
610,177.5,0,8970,"Corner","2Story",5,6,1965,1965,"TA","Gd","CBlock","TA","TA","ALQ",388,356,744,"GasA","TA","Y",825,1315,2140,0,0,2,1,4,"TA",7,1,"Attchd",2,549,"TA","TA",0,40,264,0
2746,91.5,50,7585,"Inside","1.5Fin",5,3,1948,1950,"TA","TA","CBlock","Fa","Fa","Unf",0,810,810,"GasA","Fa","Y",1002,454,1456,1,1,1,0,4,"TA",7,1,"Detchd",1,280,"TA","TA",0,0,0,0
846,200,70,8750,"Inside","2Story",6,5,1998,1998,"TA","TA","PConc","Gd","TA","GLQ",606,322,928,"GasA","Ex","Y",928,844,1772,1,0,2,1,3,"TA",7,1,"Attchd",2,492,"TA","TA",150,96,0,0
1489,147.5,75,9937,"Inside","1Story",5,6,1965,1965,"Gd","TA","CBlock","TA","TA","BLQ",830,136,1256,"GasA","Gd","Y",1256,0,1256,1,0,1,1,3,"TA",6,0,"Attchd",1,276,"TA","TA",736,68,0,0
2005,110,76,11800,"Inside","SLvl",4,7,1949,2002,"TA","TA","Slab","None","None","None",0,0,0,"GasA","Ex","Y",1382,0,1382,0,0,2,0,1,"TA",6,1,"Attchd",1,384,"TA","TA",0,40,0,0
2445,300,83,9545,"Corner","2Story",8,5,2000,2000,"Gd","TA","PConc","Gd","TA","GLQ",505,655,1160,"GasA","Ex","Y",1205,1029,2234,1,0,2,1,3,"Gd",7,1,"BuiltIn",3,768,"TA","TA",0,50,0,0
669,163,77,11500,"Inside","1Story",6,4,1967,1967,"Fa","TA","CBlock","TA","Fa","BLQ",872,108,1040,"GasA","Gd","Y",1040,0,1040,1,0,1,0,3,"TA",6,1,"Attchd",2,480,"TA","TA",0,0,156,0
110,230,80,8000,"Inside","1Story",7,5,2002,2002,"Gd","TA","PConc","Gd","TA","GLQ",833,659,1492,"GasA","Ex","Y",1492,0,1492,1,0,2,0,3,"Gd",6,1,"Attchd",2,596,"TA","TA",277,137,0,0
324,173.5,93,10114,"Inside","1Story",5,5,2004,2005,"TA","TA","PConc","Ex","TA","Unf",0,1430,1430,"GasA","Ex","Y",1430,0,1430,0,0,2,0,3,"Gd",7,0,"Attchd",2,624,"TA","TA",0,0,0,0
17,164,152,12134,"Inside","1.5Fin",8,7,1988,2005,"Gd","TA","Wood","Gd","TA","GLQ",427,132,559,"GasA","Gd","Y",1080,672,1752,0,0,2,0,4,"TA",8,0,"Basment",2,492,"TA","TA",325,12,0,0
2397,281,86,11065,"Inside","2Story",8,5,2006,2006,"Gd","TA","PConc","Gd","TA","Unf",0,1085,1085,"GasA","Ex","Y",1120,850,1970,0,0,2,1,3,"Ex",8,1,"BuiltIn",3,753,"TA","TA",177,74,0,0
2241,152,75,13710,"Inside","1.5Fin",5,5,1950,1950,"TA","TA","CBlock","TA","TA","BLQ",420,490,910,"GasA","TA","Y",910,648,1558,0,0,1,1,4,"TA",6,0,"Attchd",1,282,"TA","TA",289,0,0,0
2212,238,60,7230,"Inside","2.5Unf",7,7,1927,1992,"TA","TA","BrkTil","TA","TA","Unf",0,851,851,"GasA","Gd","Y",867,851,1718,0,0,2,1,4,"Gd",8,1,"Detchd",2,264,"TA","TA",291,0,60,153
108,206,40,3880,"Inside","1Story",8,6,1978,1978,"Gd","TA","CBlock","Gd","TA","GLQ",1052,174,1226,"GasA","TA","Y",1226,0,1226,1,0,1,0,1,"Gd",4,1,"Attchd",2,484,"TA","TA",223,78,0,0
1303,46.5,62,7311,"Corner","1Story",2,5,1946,1950,"TA","Gd","BrkTil","TA","TA","Unf",0,407,407,"GasA","TA","N",407,0,407,0,0,1,0,1,"TA",3,0,"Detchd",1,297,"Fa","TA",76,0,120,0
951,156.45,75,9750,"Inside","SFoyer",6,6,1977,1977,"TA","TA","CBlock","TA","TA","ALQ",767,135,902,"GasA","Ex","Y",926,0,926,1,0,1,0,2,"TA",5,1,"Attchd",1,351,"TA","TA",319,0,0,0
1946,301.6,113,21281,"Inside","2Story",5,4,1935,2007,"TA","TA","BrkTil","TA","Fa","Unf",0,666,666,"GasA","Gd","Y",1308,1778,3086,0,0,3,1,4,"Gd",9,0,"BuiltIn",3,1200,"TA","TA",0,208,290,156
990,176.5,87,11029,"Corner","1Story",6,8,1958,2002,"Ex","TA","CBlock","Gd","TA","ALQ",528,245,1184,"GasA","Ex","Y",1414,0,1414,1,0,1,0,3,"TA",6,1,"Attchd",2,601,"TA","TA",0,51,0,190
1000,286,41,4923,"Inside","1Story",8,5,2001,2002,"Gd","TA","PConc","Ex","TA","GLQ",1153,440,1593,"GasA","Ex","Y",1593,0,1593,1,0,1,1,0,"Ex",5,1,"Attchd",2,682,"TA","TA",0,120,0,224
189,125.5,60,7740,"Inside","2Story",4,7,1910,1950,"TA","TA","CBlock","Fa","TA","Unf",0,622,622,"GasA","Gd","Y",741,622,1363,0,0,1,0,3,"TA",6,0,"Detchd",2,528,"TA","TA",0,0,0,168
164,166,71,8520,"Corner","1.5Fin",5,4,1952,1952,"TA","Fa","CBlock","TA","TA","Rec",507,403,910,"GasA","Fa","Y",910,475,1385,0,0,2,0,4,"TA",6,0,"Detchd",2,720,"TA","TA",0,0,0,0
510,287.09,78,9262,"Inside","1Story",8,5,2008,2009,"Gd","TA","PConc","Gd","TA","Unf",0,1573,1573,"GasA","Ex","Y",1578,0,1578,0,0,2,0,3,"Ex",7,1,"Attchd",3,840,"TA","TA",0,36,0,0
457,552,100,14836,"Inside","1Story",10,5,2004,2005,"Ex","TA","PConc","Ex","TA","GLQ",2146,346,2492,"GasA","Ex","Y",2492,0,2492,1,0,2,1,2,"Ex",8,1,"Attchd",3,949,"TA","TA",226,235,0,0
1970,187,80,9760,"Inside","2Story",6,8,1964,1993,"TA","TA","CBlock","TA","TA","BLQ",536,169,822,"GasA","Gd","Y",1020,831,1851,0,0,2,1,3,"Gd",7,1,"Attchd",2,440,"TA","TA",239,42,0,0
2144,117,60,7200,"Inside","1Story",4,8,1972,2006,"TA","Gd","CBlock","TA","TA","Rec",385,0,385,"GasA","Gd","Y",875,0,875,0,0,1,0,3,"Gd",5,0,"Detchd",2,728,"TA","TA",352,0,0,0
2714,149.5,74,7844,"Inside","2Story",6,7,1978,1978,"TA","TA","CBlock","TA","TA","ALQ",209,463,672,"GasA","TA","Y",672,728,1400,0,0,1,1,3,"TA",6,1,"Attchd",2,440,"TA","TA",0,0,0,0
2785,128.5,69,9920,"Inside","1Story",5,6,1969,1969,"TA","TA","CBlock","Gd","TA","ALQ",523,448,971,"GasA","TA","Y",971,0,971,0,0,1,1,3,"TA",5,1,"Attchd",1,300,"TA","TA",0,0,0,0
1519,136.5,60,8400,"Inside","1.5Fin",6,5,1925,1950,"TA","TA","PConc","TA","TA","Rec",423,758,1181,"GasA","Fa","Y",1390,304,1694,0,0,2,0,4,"TA",7,1,"Detchd",2,576,"TA","TA",342,0,128,0
959,224.5,83,13159,"Corner","2Story",7,5,2009,2009,"TA","TA","PConc","Ex","TA","Unf",0,846,846,"GasA","Gd","Y",846,846,1692,0,0,2,1,3,"Gd",6,0,"Attchd",2,650,"TA","TA",208,114,0,0
1176,170,24,2645,"Inside","2Story",8,5,1999,1999,"Gd","TA","PConc","Gd","TA","GLQ",612,348,960,"GasA","Ex","Y",962,624,1586,1,0,2,1,3,"Gd",7,0,"Detchd",2,480,"TA","TA",169,0,0,0
2833,130,32,3363,"Inside","2Story",7,5,2004,2004,"Gd","TA","PConc","Gd","TA","Unf",0,976,976,"GasA","Ex","Y",976,732,1708,0,0,2,0,3,"Gd",7,0,"Detchd",2,380,"TA","TA",0,40,0,0
2794,275,0,14781,"CulDSac","1Story",8,5,2001,2002,"Gd","TA","PConc","Gd","TA","Unf",0,1753,1753,"GasA","Ex","Y",1787,0,1787,0,0,2,0,3,"Gd",7,1,"Attchd",3,748,"TA","TA",198,150,0,0
2226,123.9,24,1782,"Inside","2Story",6,6,1980,1980,"TA","Gd","CBlock","Gd","TA","GLQ",330,186,516,"GasA","Gd","Y",529,516,1045,0,0,1,0,2,"TA",5,1,"Detchd",2,462,"TA","TA",180,0,0,0
1819,120.75,64,6285,"Inside","1Story",5,5,1977,1977,"TA","TA","CBlock","Gd","TA","LwQ",138,405,894,"GasA","TA","Y",894,0,894,1,0,1,0,2,"TA",5,0,"Detchd",1,308,"TA","TA",192,0,0,0
1981,130,60,7200,"Inside","1Story",5,8,1940,1950,"TA","TA","CBlock","TA","TA","Unf",0,808,808,"GasA","Ex","Y",1072,0,1072,0,0,1,0,2,"TA",5,2,"Detchd",2,379,"TA","TA",0,0,0,0
889,159.5,75,7950,"Corner","2Story",6,6,1977,1977,"TA","TA","CBlock","TA","TA","BLQ",535,155,690,"GasA","TA","Y",698,728,1426,0,0,1,1,3,"TA",6,0,"Attchd",2,440,"TA","TA",252,0,0,0
1651,195,0,12046,"Inside","2Story",6,6,1976,1976,"TA","TA","CBlock","TA","TA","LwQ",156,692,848,"GasA","TA","Y",1118,912,2030,0,0,2,1,4,"Gd",8,1,"Attchd",2,551,"TA","TA",0,224,0,0
822,332,65,10816,"Inside","1Story",9,5,2008,2008,"Ex","TA","PConc","Ex","TA","GLQ",1104,616,1720,"GasA","Ex","Y",1720,0,1720,1,0,2,0,3,"Ex",8,1,"Attchd",3,846,"TA","TA",208,104,0,0
2015,132,52,6240,"Inside","1.5Fin",5,8,1939,1952,"TA","Gd","BrkTil","TA","TA","Rec",48,624,672,"GasA","Ex","Y",899,423,1322,1,0,1,0,4,"TA",7,0,"Detchd",1,280,"TA","TA",0,0,0,0
1272,125.9,80,8000,"Inside","1Story",5,5,1962,1962,"TA","TA","CBlock","TA","TA","BLQ",520,188,1027,"GasA","TA","Y",1027,0,1027,0,1,1,0,3,"TA",6,0,"Attchd",1,299,"TA","TA",0,0,0,0
1979,99.9,56,3153,"Inside","1Story",5,6,1920,1990,"TA","TA","BrkTil","TA","TA","Unf",0,967,967,"GasA","Gd","Y",967,0,967,0,0,1,0,2,"TA",5,1,"Detchd",1,180,"Fa","TA",0,0,26,0
798,105,60,9060,"Inside","1.5Fin",6,5,1939,1950,"TA","TA","BrkTil","TA","TA","Rec",204,356,560,"GasA","TA","Y",698,560,1258,0,0,1,0,2,"TA",6,0,"Detchd",1,280,"TA","TA",0,0,0,0
1833,302,0,9572,"Inside","2Story",8,5,1990,1990,"Gd","TA","PConc","Ex","TA","GLQ",482,971,1453,"GasA","Ex","Y",1453,1357,2810,0,0,2,1,4,"Gd",9,1,"Attchd",2,750,"Gd","Gd",500,0,0,0
2097,383.97,77,9965,"Inside","2Story",7,5,2007,2007,"Gd","TA","PConc","Ex","TA","GLQ",984,280,1264,"GasA","Ex","Y",1282,1414,2696,1,0,2,1,4,"Ex",10,1,"BuiltIn",3,792,"TA","TA",120,184,0,168
2682,110,51,6120,"Inside","1.5Fin",5,7,1930,1984,"TA","Gd","BrkTil","TA","TA","Unf",0,741,741,"GasA","Gd","Y",741,583,1324,0,0,1,0,3,"Gd",7,0,"Detchd",1,180,"Fa","TA",0,0,55,0
540,159,63,13072,"Inside","1Story",7,5,2004,2005,"Gd","TA","PConc","Gd","TA","Unf",0,1114,1114,"GasA","Ex","Y",1114,0,1114,0,0,1,1,3,"Gd",6,0,"Detchd",2,576,"TA","TA",248,102,0,0
2425,225,0,3072,"Inside","1Story",7,5,2004,2004,"Gd","TA","PConc","Gd","TA","GLQ",1059,306,1365,"GasA","Ex","Y",1548,0,1548,1,0,2,0,2,"Gd",7,1,"Attchd",2,388,"TA","TA",143,20,0,0
2153,275,0,12728,"Inside","2Story",8,5,2001,2001,"Gd","TA","PConc","Gd","TA","GLQ",1198,333,1531,"GasA","Ex","Y",1531,908,2439,1,0,2,1,4,"Gd",7,1,"Attchd",2,560,"TA","TA",184,121,0,0
1825,145,84,7476,"Corner","1Story",5,7,1968,1968,"TA","TA","CBlock","TA","TA","Rec",812,228,1040,"GasA","TA","Y",1040,0,1040,1,0,1,1,3,"TA",5,0,"Detchd",2,686,"TA","TA",188,0,0,0
496,403,174,15138,"Inside","2Story",8,5,1995,1996,"Gd","TA","PConc","Gd","TA","GLQ",689,773,1462,"GasA","Ex","Y",1490,1304,2794,1,0,2,1,4,"Ex",9,1,"Attchd",3,810,"TA","TA",0,146,202,0
91,190,107,10186,"Inside","2Story",7,5,1992,1992,"Gd","TA","PConc","Gd","TA","GLQ",674,76,750,"GasA","Ex","Y",1061,862,1923,1,0,2,1,3,"Gd",8,1,"Attchd",2,564,"TA","TA",240,39,0,0
2358,181,78,10140,"Inside","1Story",6,6,1974,1999,"TA","TA","CBlock","TA","TA","ALQ",663,0,1040,"GasA","Fa","Y",1309,0,1309,1,0,1,1,3,"Gd",5,1,"Attchd",2,484,"TA","TA",265,0,0,0
2230,200.624,0,32668,"CulDSac","1Story",6,3,1957,1975,"Gd","TA","PConc","TA","TA","Rec",1219,816,2035,"GasA","TA","Y",2515,0,2515,1,0,3,0,4,"TA",9,2,"Attchd",2,484,"TA","TA",0,0,200,0
190,122.5,60,11340,"Inside","2Story",4,6,1885,1950,"TA","TA","PConc","TA","TA","Unf",0,777,777,"GasA","Gd","Y",1246,1044,2290,0,0,2,0,4,"TA",11,0,"Detchd",2,560,"TA","TA",0,0,114,0
2684,89,50,6000,"Inside","1Story",5,7,1921,1950,"TA","TA","CBlock","TA","TA","LwQ",616,0,616,"GasA","Gd","Y",616,0,616,0,0,1,0,2,"TA",4,0,"Detchd",1,205,"TA","TA",0,0,129,0
1416,125,68,10880,"Inside","1Story",5,5,1950,1950,"TA","TA","CBlock","TA","TA","ALQ",1040,124,1164,"GasW","TA","N",1164,0,1164,1,0,1,0,3,"TA",5,0,"Detchd",1,240,"TA","TA",0,48,0,0
998,177.9,53,14137,"Inside","1Story",5,5,1996,1997,"Gd","TA","PConc","Gd","TA","GLQ",450,898,1348,"GasA","Gd","Y",1384,0,1384,1,0,2,0,3,"Gd",7,0,"Attchd",2,404,"TA","TA",0,39,0,0
2432,183.2,0,7861,"Inside","2Story",6,5,2002,2003,"Gd","TA","PConc","Gd","TA","GLQ",457,326,783,"GasA","Ex","Y",807,702,1509,1,0,2,1,3,"Gd",7,1,"Attchd",2,393,"TA","TA",100,75,0,0
242,308.03,44,17485,"Inside","1Story",7,5,2009,2010,"Gd","TA","PConc","Gd","TA","GLQ",1346,162,1508,"GasA","Ex","Y",1508,0,1508,1,0,1,0,1,"Gd",5,2,"Attchd",2,572,"TA","TA",0,0,0,0
161,242,96,11275,"Corner","SLvl",7,7,1967,2007,"Gd","Gd","CBlock","Gd","TA","Unf",0,710,710,"GasA","Ex","Y",1898,1080,2978,0,0,2,1,5,"Gd",11,1,"BuiltIn",2,564,"TA","TA",240,0,0,0
885,108,67,8777,"Inside","1Story",4,5,1949,2003,"TA","TA","CBlock","None","None","None",0,0,0,"GasA","Ex","Y",1126,0,1126,0,0,2,0,2,"Gd",5,0,"Detchd",2,520,"TA","TA",0,96,0,0
1363,120,0,10320,"Inside","1.5Fin",5,6,1915,1978,"TA","Fa","BrkTil","TA","Fa","Unf",0,880,880,"GasA","Gd","Y",880,428,1308,0,0,2,0,2,"TA",6,0,"Detchd",2,400,"Fa","Fa",0,0,117,0
2353,172,0,9927,"Inside","SFoyer",7,5,1976,1976,"Gd","TA","CBlock","Ex","TA","GLQ",1005,42,1047,"GasA","TA","Y",1083,0,1083,1,0,1,0,2,"TA",5,1,"Attchd",2,596,"TA","TA",444,0,40,0
647,164.9,75,14559,"Inside","1Story",5,7,1951,2000,"Gd","TA","CBlock","TA","TA","BLQ",650,178,1008,"GasA","Ex","Y",1363,0,1363,1,0,1,0,2,"TA",6,2,"CarPort",1,288,"TA","TA",324,42,0,168
1215,140,90,9900,"Corner","1Story",5,5,1961,1961,"TA","Gd","CBlock","TA","TA","Unf",0,1114,1114,"GasA","TA","Y",1114,0,1114,1,0,1,0,3,"TA",5,0,"Attchd",2,451,"TA","TA",0,0,0,164
2655,120,56,9576,"Inside","1.5Fin",6,7,1945,1950,"TA","TA","CBlock","Fa","TA","Rec",310,460,770,"GasA","TA","Y",885,297,1182,0,0,1,1,3,"TA",5,0,"Detchd",1,378,"Fa","TA",0,0,0,0
762,88.75,50,4280,"Inside","1Story",4,9,1946,2001,"TA","Gd","CBlock","Fa","TA","Unf",0,560,560,"GasA","Ex","Y",704,0,704,0,1,1,0,2,"Fa",4,0,"CarPort",1,220,"TA","TA",0,0,24,0
418,128.5,24,2104,"Inside","1Story",7,6,1976,1976,"TA","TA","CBlock","TA","TA","ALQ",536,300,836,"GasA","TA","Y",836,0,836,0,1,1,0,2,"TA",5,0,"Attchd",1,345,"TA","TA",150,20,0,0
2152,228,73,11927,"Inside","1Story",8,5,1994,1995,"Gd","TA","PConc","Gd","TA","BLQ",408,683,1556,"GasA","Ex","Y",1592,0,1592,0,0,2,0,3,"Gd",7,1,"Attchd",2,484,"TA","TA",120,35,0,0
2162,213.5,79,9245,"Inside","2Story",7,5,2006,2006,"Gd","TA","PConc","Gd","TA","Unf",0,939,939,"GasA","Ex","Y",939,858,1797,0,0,2,1,3,"Gd",8,0,"Attchd",2,639,"TA","TA",144,53,0,0
463,173,48,3480,"Inside","1Story",7,5,2003,2003,"Gd","TA","PConc","Gd","TA","Unf",0,1405,1405,"GasA","Ex","Y",1405,0,1405,0,0,2,0,2,"Gd",6,1,"Attchd",2,478,"TA","TA",148,36,0,0
