DecisionM,DecisionF,LikeM,LikeF,PartnerYesM,PartnerYesF,AgeM,AgeF,AttractiveM,AttractiveF,SincereM,SincereF,IntelligentM,IntelligentF,FunM,FunF,AmbitiousM,AmbitiousF,SharedInterestsM,SharedInterestsF
0,0,6,7,5,5,27,21,6,5,8,8,8,8,8,2,7,2,6,2
1,0,8,7,4,3,22,22,7,6,9,6,10,8,6,4,6,9,5,4
1,0,10,6,10,2,22,23,10,4,10,7,10,9,10,4,10,3,10,2
1,1,9,7,7,8,23,24,9,7,9,9,9,7,9,6,9,5,9,7
1,1,7,5,8,5,24,26,7,5,9,10,8,8,9,8,7,5,7,5
0,0,7,6,7,6,27,23,6,5,7,9,8,9,6,5,6,9,5,7
1,1,8,7,8,10,28,25,8,8,7,8,8,5,10,9,8,8,10,9
0,0,5,8,5,7,24,25,5,8,6,7,8,9,5,7,8,9,6,7
0,1,3,7,1,7,25,25,5,6,6,8,6,9,5,7,7,7,3,8
0,0,4,3,1,2,24,27,4,4,6,7,7,8,3,2,6,6,4,2
1,1,6,6,5,6,24,27,6,6,7,8,6,8,6,7,8,7,5,6
1,0,6,7,6,7,30,27,6,5,6,7,6,7,5,7,6,7,4,7
0,0,6,2,7,5,22,26,6,3,8,1,7,2,7,2,9,2,4,3
1,1,6,7,9,7,25,21,8,7,8,8,7,8,6,7,7,8,6,6
0,1,7,7,7,3,27,30,6,7,8,9,8,7,8,7,8,10,5,5
0,1,6,6,5,5,23,22,5,6,8,7,5,7,3,4,3,6,3,6
1,0,7,6,2,4,21,24,8,3,8,8,8,8,6,5,7,5,5,5
1,0,8,6,8,6,28,23,9,6,9,8,9,8,9,6,8,7,8,5
1,0,7,6,5,7,28,25,8,5,9,8,9,8,9,6,7,9,5,6
0,0,6,8,6,3,23,21,5,5,8,9,10,9,7,8,9,9,5,5
1,1,10,8,10,8,22,26,10,8,10,9,10,9,10,9,10,8,10,8
0,1,7,8,2,4,26,24,5,6,7,6,9,9,7,8,5,8,4,5
1,1,9,8,3,7,21,22,6,10,9,9,8,9,6,8,8,8,6,7
1,0,6,3,7,10,22,23,7,3,8,10,7,5,5,3,7,5,5,4
0,0,6,6,5,6,22,23,6,7,8,7,7,7,7,8,6,8,5,5
0,1,5,8,1,8,25,29,6,9,8,10,8,10,7,9,7,10,5,8
1,1,6,6,7,5,24,27,6,8,6,6,7,8,5,5,6,8,5,5
0,0,8,5,6,5,28,26,7,5,7,6,8,7,8,6,6,9,9,5
0,0,5,6,4,6,26,32,5,5,7,8,6,7,6,5,6,5,4,4
0,0,6,6,7,5,29,28,7,8,7,8,8,9,7,8,8,7,7,6
0,1,5,7,6,4,28,23,6,7,8,8,8,7,6,6,5,5,0,4
1,0,9,9,6,8,22,25,9,5,8,10,8,10,9,8,7,8,8,7
0,0,4,5,6,5,32,30,5,5,6,8,7,8,2,6,7,5,3,3
0,1,8,7,5,7,27,27,6,8,9,8,8,8,6,6,7,8,4,7
1,1,8,4,9,3,21,35,9,8,10,8,9,8,8,7,7,5,6.5,8
1,0,7,7,6,8,24,23,8,8,9,10,7,10,8,5,5,10,4,8
1,1,7,9,5,3,25,23,7,7,10,10,8,10,8,6,8,10,3,6
0,1,4,7,4,7,27,29,5,7,7,7,7,7,5,7,5,7,5,7
0,1,10,8,1,1,22,21,10,8,10,10,10,9,10,10,10,5,10,5
1,0,7,2,8,1,22,21,8,4,7,8,6,7,5,5,5,9,5,3
0,0,5,5,7,4,21,20,5,7,8,5,8,5,6,6,7,5,5,3
1,1,7,7,8,6,22,21,7,8,7,6,7,6,7,7,5,5,5,6
1,1,9,9,8,9,21,20,10,9,9,10,8,8,9,8,9,7,7,9
1,1,9,9,5,5,20,20,9,9,6,9,8,9,6,8,6,10,6,2
0,0,7,7,6,7,26,24,6,7,10,7,10,7,6,8,7,6,5,8
1,0,7,7,7,7,28,27,8,5,7,8,7,8,7,8,7,7,8,7
1,0,9,4,5,9,23,24,10,4,8,5,8,6,7,4,7,6,5,4
1,1,6,8,8,10,29,26,8,8,10,6,9,7,8,8,8,9,7,7
0,1,5,8,3,7,22,30,7,8,9,9,10,10,8,7,8,9,4,5
0,0,6,8,3,1,27,24,5,9,6,9,7,9,7,8,6,9,5,8
1,1,8,8,5,7,26,28,8,8,10,8,8,8,8,8,8,6,6,7
1,1,10,10,10,10,27,36,9,10,10,9,10,10,8,10,8,8,8,8
1,1,7,9,4,6,30,27,8,8,9,8,10,7,5,8,9,8,5,9
1,0,9,5,9,5,23,27,8,5,8,9,8,7,8,5,8,7,8,5
0,1,8,8,9,5,28,27,9,8,8,8,8,8,8,7,8,8,8,6
1,0,7,4,6,6,28,28,8,3,7,8,7,8,8,3,7,7,5,2
0,0,4,7,5,9,27,23,4,5,7,8,8,7,5,7,6,8,4,7
1,0,7,3,6,7,22,28,7,5,8,6,8,5,8,6,8,5,7,6
0,0,2,6,8,2,25,28,3,6,8,5,8,6,4,6,7,7,6,4
0,0,4,3,2,5,24,22,5,2,5,6,7,7,8,2,5,4,2,2
1,0,6,7,2,7,21,24,8,7,8,8,5,8,8,7,5,8,8,5
0,1,5,8,7,8,28,23,5,1,9,7,8,8,7,8,8,8,8,8
1,0,7,4,9,5,24,30,7,6,7,6,8,6,8,6,6,5,4,4
1,1,8,8,7,7,25,22,8,8,10,8,8,9,6,8,9,9,9,9
1,1,6,6,6,5,23,25,7,5,8,8,8,7,7,9,9,8,5,5
1,0,7,4,6,6,26,24,7,8,9,8,9,8,6,8,7,8,4,1
0,1,7,8,5,7,27,31,5,2,10,8,8,8,7,7,5,8,5,5
1,1,8,8,8,7,26,27,6,7,10,10,8,10,8,7,6,10,6,5
0,1,5,6,5,8,24,30,4,4,4,9,6,9,6,4,6,9,5,4
0,0,7,2,7,2,25,23,8,3,8,2,8,8,9,4,8,5,8,4
1,0,6,6,3,7,27,28,6,6,5,10,6,10,6,6,7,10,3,10
1,0,6,5,5,2,27,22,6,2,4,9,7,10,7,4,8,8,2,4
1,0,8,7,7,7,28,25,8,5,10,8,9,8,9,9,9,9,6,5
1,1,9,8,7,9,26,23,8,8,8,10,7,7,9,9,8,7,8,8
1,1,7,7,7,9,28,27,8,8,9,8,7,9,9,9,5,8,5,6
0,0,6,7,6,6,30,25,7,6,7,10,7,10,6,10,7,8,5,7
0,1,3,6,3,6,28,26,8,7,6,7,8,6,10,6,9,5,2,5
1,0,5,8,6,6,25,29,5,5,6,10,5,10,5,9,4,6,3,7
0,1,6,8,4,4,27,34,6,8,7,8,8,7,6,8,3,9,4,6
0,1,5,5,6,3,25,22,5,7,10,5,6,8,7,5,7,8,4,7
1,0,5,5,7,6,21,26,5,5,8,6,7,7,7,5,5,8,6,5
1,1,7,7,7,6,26,23,7,7,9,7,8,8,7,7,5,6,5,8
0,0,5,5,2,5,32,27,5,6,5,8,5,7,3,7,5,5,5,4
0,1,7,8,3,8,25,25,7,8,9,9,5,8,7,8,6,7,5,7
1,0,6,5,3,5,25,23,6,5,6,4,6,8,5,4,4,4,5,6
1,0,8,4,6,8,27,28,10,4,8,6,8,8,8,6,5,6,5,10
1,0,7,8,2,2,23,32,7,9,7,8,7,8,0,8,7,6,0,2
1,1,6,7,9,9,27,24,8,7,8,10,9,7,9,6,9,9,9,3
1,1,4.5,7,8,7,24,33,5,6,5,8,5,8,4,6,4,7,4,6
1,0,5,8,5,5,22,26,8,6,7,10,8,10,7,9,5,10,8,5
1,0,7,5,6,5,22,26,7,5,7,5,5,5,5,5,6,5,9,5
0,0,5,3,5,5,27,22,5,5,5,9,7,8,5,6,5,8,5,2
1,0,7,5,5,3,28,24,7,5,8,7,6,7,6,9,6,9,5,3
1,1,7,7,7,8,27,28,7,7,9,8,9,9,8,9,5,9,8,6
0,0,3,5,4,6,28,26,5,5,10,5,7,6,4,7,5,7,4,7
0,1,6,7,7,6,28,25,5,6,8,7,7,9,8,3,6,6,7,4
0,0,8,7,5,8,27,29,8,5,9,8,8,8,7,7,6,7,7,6
0,0,5,6,8,1,32,28,8,7,10,8,10,9,8,3,10,5,4,5
0,1,7,7,8,5,29,27,5,7.5,8,8,6,8,7,7,5,7,6,5.5
1,0,9,7,6,8,23,33,9,6,8,10,8,9,6,8,7,8,9,7
0,0,7,6,7,5,27,28,6,6,8,9,7,8,8,7,6,5,6,5
0,0,4,3,4,2,32,35,5,4,7,9,7,10,4,6,5,9,4,2
1,0,9,7,5,6,27,30,9,6,8,8,10,8,7,6,7,6,7,6
1,1,7,9,7,8,25,24,5,10,8,10,7,10,8,10,5,10,5,8
0,1,7,6,1,6,29,34,7,5,7,10,7,10,6,5,7,10,6,2
1,1,9,7,9,10,26,21,9,3,9,10,7,10,8,8,9,9,8,10
0,1,8,7,6,5,23,30,5,7,8,7,7,7,7,7,6,5,6,5
0,1,5,6,8,7,29,34,5,10,8,8,7,7,7,6,5,6,7,7
0,1,6,6,4,7,24,30,5,8,8,7,6,8,6,8,6,8,6,8
0,0,4,5,1,8,25,22,6,4,3,9,7,8,6,4,9,7,1,4
1,0,6,7,6,4,28,29,7,6,9,8,8,8,6,6,6,7,6,3
1,0,6,8,7,3,27,29,8,8,8,8,8,8,7,8,8,8,7,3
1,1,9,8,7,7,27,35,9,8,9,8,9,8,9,8,9,8,7,8
0,1,5,7,5,5,30,24,3,10,8,9,6,9,6,7,5,9,2,7
0,1,6,9,6,7,27,29,6,9,8,8,7,8,6,9,5,6,5,9
0,1,4,8,6,6,27,24,4,7,9,6,7,6,5,7,7,7,4,6
1,1,6.5,7,6,7,24,31,7,6,8,10,7,9,8,8,7,6,6,6
1,1,10,8,10,10,25,22,10,5,9,10,10,8,10,10,10,6,10,10
0,0,5,8,4,2,28,23,6,8,9,8,7,8,7,8,5,8,3,5
0,0,5,2,5,2,30,26,5,7,7,5,5,5,5,5,4,6,3,1
0,1,3,8,5,7,27,24,2,9,4,6,4,7,2,7,5,7,2,7
1,1,10,10,10,10,25,26,10,10,10,10,10,10,10,10,10,10,10,10
1,1,7,7,6,7,26,26,8,6,8,7,8,7,7,7,6,6,5,8
0,1,6,6,6,5,24,33,6,4,8,7,8,7,7,5,7,7,7,7
0,0,5,5,2,6,22,26,5,2,7,10,7,8,4,7,4,9,2,2
1,1,8,6,4,5,23,28,7,8,7,8,7,8,5,6,5,8,5,4
0,1,10,10,5,10,24,24,10,10,10,10,10,10,10,10,10,10,10,10
1,0,7,8,8,3,24,38,7,7,6,9,8,8,7,9,7,8,6,9
1,1,8,7,7,7,23,23,7,7,9,10,8,10,8,6,7,8,6,7
1,1,7,7,3,8,27,28,7,7,8,9,8,8,4,8,5,6,8,6
0,0,7,7,7,7,26,22,6,8,8,8,6,8,6,7,6,7,5,6
0,0,7,6,5,6,30,29,6,6,9,8,6,7,6,4,6,8,4,5
1,0,8,6,6,6,24,25,7,7,7,8,8,7,8,5,8,5,7,5
1,0,8,3,6,5,28,25,5,3,8,5,9,7,8,4,7,8,6,2
0,0,4,2,6,6,24,29,3,3,8,3,5,4,4,3,2,8,7,2
0,1,8,6,8,8,28,28,6,8,10,8,9,8,8,5,8,5,9,5
1,0,7,6,7,8,27,22,7,7,9,6,9,7,9,5,7,7,6,3
0,0,4,6,5,5,21,30,6,8,9,7,8,7,9,5,8,5,8,7
0,1,7,10,7,10,24,23,9,10,9,10,9,10,10,10,8,10,5,10
1,0,5,8,3,10,25,23,8,7,1,10,5,8,5,10,5,8,0,7
0,1,6,9,7,9,27,28,7,8,9,10,6,9,5,9,3,10,5,9
1,0,8,7,5,8,28,27,8,7,10,5,9,5,8,3,5,3,3,5
0,0,4,5,3,1,26,29,4,7,5,7,6,9,5,3,5,9,4,0
1,0,7,5,1,2,23,22,10,5,7,6,8,9,7,8,8,8,5,5
1,0,7,5,6,1,25,29,8,5,7,9,7,10,7,5,5,9,5,5
1,0,8,5,7,5,29,27,8,7,9,7,7,8,8,8,6,8,7,3
1,0,4,5,4,1,27,29,5,3,5,10,5,10,4,3,5,10,4,0
0,1,9,9,10,7,33,27,5,9,10,9,8,9,8,9,7,9,7,9
0,0,5,5,6,5,27,24,5,5,5,7,7,7,6,6,6,7,7,7
1,0,6,5,3,5,23,29,5,6,6,8,6,8,5,7,7,9,5,3
1,0,7,6,6,7,23,27,5,6,8,8,7,7,7,3,8,3,5,6
0,0,6,6,4,4,30,25,6,6,6,7,7,7,6,6,6,8,6,5
0,0,8,3,8,6,28,27,9,3,10,6,10,7,10,5,8,4,5,1
1,0,8,7,6,5,24,30,7,4,6,10,7,9,7,5,7,7,5,5
1,1,8,7,5,7,29,29,8,5,8,5,8,5,8,8,8,5,8,5
1,1,7,7,8,7,28,30,6,7,8,7,9,7,7,7,8,7,6,6
1,0,7,6,6,7,29,25,8,3,7,8,7,8,6,4,6,8,8,8
0,0,10,5,2,5,30,24,10,7,10,6,10,8,10,5,10,7,1,1
0,1,6,10,6,8,30,34,8,10,8,9,9,10,6,10,9,10,5,9
1,0,9,8,10,9,26,24,9,6,8,9,8,8,8,8,8,10,8,6
1,0,7,6,6,5,25,26,6,5,8,8,5,8,6,7,5,7,7,6
1,0,8,6,8,5,23,23,8,6,10,7,10,8,8,7,7,9,7,6
0,0,7,5,3,5,27,26,5,5,8,5,9,4,6,2,8,8,6,1
0,0,2,3,5,3,24,25,6,5,6,8,7,10,4,3,4,8,6,3
1,1,8,6,5,7,24,25,7,8,9,7,9,8,7,8,9,7,7,6
0,1,5,9,1,1,25,26,5,4,10,3,10,9,10,4,10,9,5,5
1,1,8,7,7,7,24,23,8,5,9,5,8,8,8,7,9,6,7,6
1,1,10,8,10,10,23,27,9,10,7,10,9,10,8,9,8,5,6,6
0,0,6,3,1,3,22,24,5,5,7,5,7,8,7,6,4,8,2,3
1,1,6,8,6,6,32,26,7,8,7,9,6,9,6,10,6,10,6,8
1,1,8,8,10,9,22,22,9,6,6,4,10,8,9,10,8,7,8,8
0,1,6,6,6,5,24,25,7,4,7,9,7,4,8,7,5,8,5,4
1,0,6,5,5,7,23,30,6,4,7,9,6,8,8,6,5,7,4,2
1,0,8,5,8,5,23,23,7,7,10,9,6,9,7,7,6,10,0,2
1,1,7,7,8,5,23,27,5,5,8,6,7,5,7,5,6,5,6,6
1,0,9,3,8,1,24,29,7,1,9,5,8,5,10,4,6,5,5,3
0,0,7,6,3,5,30,28,2,7,10,7,8,7,10,5,2,5,4,5
0,0,6,6,3,8,30,26,6,6,7,8,7,8,7,6,4,8,6,5
1,0,7,4,5,3,27,28,5,5,7,5,8,6,7,3,8,5,7,3
