WAGE,OCCUPATION,SECTOR,UNION,EDUCATION,EXPERIENCE,AGE,SEX,MARR,RACE,SOUTH
9.5,3,0,0,12,39,57,1,1,3,1
5,3,0,0,12,26,44,1,0,3,1
9.15,6,0,0,12,7,25,0,1,3,0
3.35,1,0,0,16,9,31,0,0,3,0
10,5,0,0,14,22,42,0,1,3,0
10.58,5,1,0,16,9,31,0,0,3,0
11.22,5,0,0,18,19,43,0,1,3,0
7.96,4,0,0,14,12,32,1,1,3,0
3.75,4,0,0,12,17,35,1,1,3,1
7,2,0,0,12,5,23,0,1,3,0
3.6,4,0,0,12,6,24,1,0,3,0
17.25,1,0,0,15,31,52,0,1,3,0
6.5,6,0,0,12,8,26,0,0,3,0
9.45,6,1,0,12,13,31,0,0,3,0
5.75,5,0,1,9,34,49,1,1,1,1
13.65,5,0,0,16,11,33,0,1,3,0
4.25,2,0,0,12,29,47,1,1,3,1
6.25,5,0,0,14,12,32,1,1,3,0
11.43,6,2,0,12,3,21,0,0,3,1
14,5,0,1,18,31,55,1,0,3,0
7.78,6,1,0,12,23,41,0,1,3,0
24.98,5,0,0,16,5,27,1,0,3,1
6.5,6,1,0,12,5,23,0,0,3,1
8.4,6,1,0,13,17,36,0,0,3,0
5.87,3,0,0,17,6,29,1,0,1,1
4.55,2,0,0,13,33,52,1,1,3,0
11.25,1,1,0,16,3,25,1,0,1,0
6.88,1,0,0,17,15,38,1,1,3,0
3.65,4,0,0,11,8,25,1,1,3,1
9,6,2,0,10,27,43,0,1,3,0
5.79,5,0,0,12,42,60,1,1,3,0
3.65,6,0,0,11,16,33,0,0,3,0
15.03,3,0,0,12,24,42,1,1,3,0
7,6,0,1,12,7,25,0,1,3,0
19.98,6,1,0,12,23,41,0,1,3,0
9,2,0,0,12,16,34,0,1,3,0
12.57,6,0,1,12,12,30,0,1,3,0
5,6,0,0,12,5,23,0,1,3,1
5.83,4,0,0,13,3,22,0,0,1,0
12.5,3,0,0,13,16,35,1,1,3,0
6.25,3,0,0,16,4,26,0,0,1,0
6.75,3,0,0,12,22,40,0,0,3,0
4,6,1,1,11,25,42,1,1,3,1
3.35,2,0,0,16,14,36,1,1,1,1
4.28,4,0,0,12,38,56,1,1,3,0
3.5,4,0,0,10,33,49,1,0,3,1
5,5,0,0,12,4,22,0,0,2,0
8.89,5,0,1,16,22,44,1,1,3,0
8.8,1,0,0,14,41,61,0,1,3,1
5.25,6,0,0,10,15,31,0,1,3,0
4.5,6,0,0,12,16,34,0,0,2,1
9.33,3,0,0,12,15,33,1,0,3,0
13.45,5,0,0,16,16,38,0,0,1,1
15,5,0,0,18,11,35,1,1,3,0
3.43,4,0,0,12,2,20,0,0,1,1
3.5,4,0,0,9,48,63,0,0,3,0
7,3,0,1,12,10,28,1,1,3,0
8.2,6,0,0,14,17,37,0,0,1,1
3.35,6,1,0,7,43,56,0,1,3,1
8,4,0,0,13,15,34,1,1,3,0
10.78,6,2,1,11,28,45,0,1,1,1
11.25,6,0,1,12,41,59,0,1,3,0
7.75,3,0,0,12,24,42,1,1,3,0
15,1,1,0,12,42,60,0,1,3,0
4,4,0,0,12,7,25,0,0,2,1
10.5,3,0,0,12,29,47,1,1,3,0
4,6,0,0,13,0,19,0,0,3,0
8,3,0,1,14,15,35,1,0,3,0
5.95,4,0,0,13,9,28,0,1,3,1
5.25,3,0,0,12,45,63,1,1,3,0
3.55,3,0,0,13,1,20,1,0,3,1
22.2,6,1,1,12,26,44,0,1,3,0
6.25,5,0,0,16,7,29,1,1,2,1
12.22,6,2,1,12,19,37,0,1,3,0
3,6,1,1,6,43,55,1,1,2,0
15.95,5,0,1,17,13,36,1,0,3,0
7.5,6,0,0,12,17,35,0,1,3,0
3.56,3,0,0,12,12,30,1,0,2,1
1,1,0,0,12,24,42,0,1,3,0
9.5,6,2,0,11,29,46,0,1,3,1
12,3,0,0,12,5,23,0,0,3,1
4.1,3,0,0,12,15,33,1,1,3,0
10,1,0,0,10,20,36,0,1,3,0
3.75,6,2,0,11,11,28,0,0,3,0
14,6,2,0,5,44,55,0,1,3,1
3.5,2,0,0,12,34,52,0,1,3,0
7.3,6,2,0,12,37,55,0,1,3,0
5.5,3,0,0,11,24,41,1,1,3,0
5.75,5,0,0,12,3,21,0,1,3,0
7,6,1,1,7,42,55,0,1,1,0
12.5,6,2,0,12,11,29,0,0,3,0
19.88,5,0,1,12,13,31,0,1,3,1
13.75,2,0,0,14,21,41,0,1,3,0
4.17,4,0,0,14,24,44,1,0,3,0
11.25,3,0,0,17,32,55,1,1,1,0
18,5,0,0,18,15,39,0,1,3,0
3.35,6,1,0,11,3,20,0,0,1,1
8.5,6,1,0,9,38,53,0,1,3,0
10,5,0,0,16,0,18,1,0,3,0
10,2,1,0,12,20,38,0,1,3,1
9,6,1,1,13,8,27,0,0,1,0
8.9,6,0,0,14,13,33,0,0,3,0
5,6,0,1,16,3,25,0,0,3,0
9.65,3,0,0,12,38,56,1,1,3,0
22.2,5,0,0,18,40,64,1,0,3,0
5.5,6,1,0,12,3,21,0,0,3,0
6,6,1,0,7,15,28,1,1,3,1
8.63,3,0,0,12,18,36,1,1,1,0
9,6,0,1,8,33,47,0,1,3,0
4.75,3,0,0,12,2,20,1,1,3,1
5.5,5,0,0,16,29,51,0,1,3,1
14.21,6,1,1,11,15,32,0,0,3,0
5.77,4,1,0,16,3,25,0,0,3,0
4.25,3,0,0,12,20,38,1,1,3,0
5.2,3,0,0,12,24,42,1,1,3,0
5.85,5,0,0,18,12,36,0,1,3,1
5.15,4,0,1,13,1,20,0,0,3,1
3.35,3,0,0,16,3,25,0,0,1,0
13.12,4,0,0,12,33,51,1,1,1,0
7.5,6,0,0,12,3,21,0,0,3,0
25,4,0,1,14,4,24,0,0,2,0
3.8,4,0,0,12,16,34,1,0,3,0
3.35,2,0,0,13,2,21,1,1,3,1
14,6,0,1,11,13,30,0,1,3,0
17.86,1,0,0,13,36,55,0,0,3,0
4.25,4,0,0,12,2,20,1,1,3,0
15.56,5,0,0,16,10,32,0,0,3,0
9.25,6,1,0,12,19,37,0,0,3,0
6.25,5,0,0,18,14,38,0,1,3,1
4,4,0,0,12,12,30,0,0,3,0
12.65,1,0,0,17,13,36,1,1,3,0
8,5,0,1,18,33,57,0,0,3,0
5.25,3,0,0,16,2,24,1,0,3,1
10.67,6,0,0,12,36,54,0,0,1,0
7.5,5,0,1,16,10,32,0,1,3,0
5,5,2,0,14,0,20,0,1,3,0
5,3,0,0,12,4,22,0,0,3,1
4.13,3,0,0,12,4,22,1,1,3,0
3.5,3,0,0,12,25,43,1,0,1,0
19.47,6,0,0,12,9,27,0,0,3,0
9,3,1,0,16,27,49,1,1,3,0
9.17,3,1,0,12,44,62,1,1,3,0
10,1,0,1,16,7,29,0,1,2,0
7.5,1,0,0,12,17,35,0,0,3,0
15.38,5,1,0,16,33,55,0,1,3,0
7.5,4,1,1,12,9,27,1,1,3,0
14.53,1,0,0,16,18,40,0,1,3,0
8,6,0,0,7,44,57,0,1,3,1
6.85,4,0,1,14,34,54,0,1,1,0
12.5,3,0,0,15,6,27,1,1,3,0
4,6,1,1,12,6,24,0,0,1,0
8,6,1,0,12,19,37,1,1,3,0
22.2,5,0,0,18,8,32,0,1,3,0
11.25,5,0,0,12,28,46,1,1,3,0
3.6,4,0,0,12,43,61,1,1,2,1
13.45,6,0,1,12,16,34,0,1,3,1
6.88,4,0,0,14,10,30,1,0,3,1
7.5,4,0,0,11,3,20,0,0,1,0
5.5,2,0,0,12,20,38,0,1,3,0
4.7,6,0,0,8,19,33,0,1,3,0
5.5,6,0,0,12,12,30,0,1,3,0
6.25,6,0,1,9,30,45,0,0,3,1
24.98,5,1,0,17,31,54,0,1,3,0
12.5,5,0,0,15,10,31,0,0,3,0
6,6,1,0,13,7,26,0,1,3,1
5.75,6,1,0,6,45,57,0,1,3,1
5.13,2,0,0,12,5,23,1,1,3,0
16,6,1,1,12,35,53,0,1,3,1
9.36,6,1,0,12,8,26,0,1,3,0
8.49,4,0,0,12,24,42,1,1,3,0
8,3,0,0,12,9,27,1,0,3,0
5,2,0,0,14,0,20,0,0,2,0
7,3,0,0,11,16,33,1,1,1,0
9.5,5,0,0,17,14,37,1,1,3,0
4.55,1,0,0,12,4,22,1,0,2,1
10,1,0,0,14,22,42,0,0,1,0
6.75,6,0,0,12,12,30,0,1,3,1
11.25,1,0,0,12,30,48,1,1,2,1
10.58,6,1,0,14,25,45,0,1,3,0
15,1,0,0,16,10,32,0,1,3,1
3.75,6,0,0,16,13,35,1,0,3,1
17.25,5,1,0,18,5,29,0,1,3,0
7.38,5,0,0,14,15,35,1,0,2,0
10,1,0,0,18,13,37,1,0,3,1
4,6,0,0,12,46,64,1,0,3,1
12.67,5,0,0,16,15,37,0,1,3,0
26,6,0,1,14,21,41,0,1,3,0
8.5,3,0,0,17,3,26,0,0,3,1
8.9,6,2,1,10,27,43,0,1,3,1
3.35,4,0,0,14,0,20,0,0,1,0
3.51,4,0,0,10,37,53,1,1,1,1
7.5,5,0,0,16,22,44,1,1,3,0
4.35,4,0,0,8,37,51,1,1,1,1
5.71,5,0,0,18,3,27,0,1,3,0
8.63,5,0,0,14,4,24,1,0,3,0
3.35,4,0,0,12,0,18,1,0,3,0
7.81,1,0,0,12,1,19,1,0,3,1
10,6,2,1,12,35,53,0,1,1,0
11.79,5,0,1,16,6,28,1,0,3,0
6.25,2,1,0,13,4,23,1,1,3,0
3.5,2,0,0,11,33,50,1,1,3,0
6.67,6,1,0,12,1,19,0,0,3,0
9.75,6,1,0,15,9,30,1,1,3,0
4.59,3,2,0,12,36,54,1,1,3,1
5,3,0,0,16,4,26,1,1,3,1
5.56,2,0,0,14,5,25,0,0,3,1
4,3,0,0,12,8,26,0,1,1,1
8.5,3,0,0,12,25,43,1,0,3,0
9.75,6,1,1,11,37,54,0,1,3,1
9,4,0,0,16,6,28,1,1,1,0
3.8,2,0,0,12,4,22,1,0,3,0
22.5,5,1,0,16,17,39,0,1,3,0
5.35,4,0,0,12,13,31,1,1,3,0
24.98,1,0,0,18,29,53,0,1,3,0
13.1,4,0,0,10,38,54,1,1,1,1
11.36,5,0,0,18,5,29,0,0,3,0
7.8,5,0,0,17,7,30,0,1,3,0
16.26,4,0,1,12,14,32,0,0,1,0
3.75,6,0,0,12,9,27,0,0,3,0
7.7,3,0,1,13,8,27,1,0,3,0
4.5,4,0,0,16,21,43,0,1,3,0
10,4,0,1,10,25,41,1,1,3,0
10,5,0,0,16,10,32,1,1,3,0
11.84,1,0,0,12,26,44,0,1,3,0
5,6,1,0,12,28,46,1,1,3,0
22.5,1,0,0,18,14,38,0,1,3,0
6.5,6,0,0,8,27,41,0,1,3,1
6.36,6,1,0,12,9,27,0,1,3,0
11.25,6,0,0,13,14,33,0,1,3,0
15,2,0,0,14,22,42,0,0,3,0
20.5,5,0,1,16,14,36,0,1,3,1
10.81,3,0,0,12,40,58,1,1,3,0
6.4,3,0,0,12,6,24,1,0,3,0
11.25,5,0,0,17,10,33,1,0,3,0
10.75,6,2,1,12,24,42,0,1,3,0
3.5,4,0,0,11,17,34,1,1,3,1
3.35,3,0,0,12,7,25,1,1,3,0
10.62,3,1,0,12,45,63,1,0,3,0
10.62,1,0,0,12,34,52,0,1,3,1
8.75,4,0,0,11,36,53,1,0,3,0
12,6,1,0,12,14,32,0,1,3,0
10.5,1,1,0,13,14,33,1,1,3,0
7.5,2,0,0,12,27,45,1,1,1,1
9.22,1,0,0,14,13,33,1,1,3,0
6.75,6,1,0,10,13,29,0,1,3,0
6.8,6,1,0,9,30,45,1,1,3,1
3.35,6,0,0,12,0,18,0,0,3,0
9.42,2,0,0,12,32,50,0,1,3,1
11.25,5,0,0,15,5,26,0,0,3,0
7,5,0,0,18,33,57,0,1,3,0
24.98,5,0,0,17,5,28,1,0,3,0
5.21,3,0,0,18,10,34,0,1,3,1
16,6,0,1,14,20,40,0,1,3,0
3.84,2,0,0,11,25,42,1,1,1,1
3.35,6,1,0,12,10,28,1,1,1,1
6.28,6,1,0,12,38,56,1,1,3,0
7.5,3,0,0,12,23,41,1,1,1,1
7.5,3,0,0,12,16,34,1,1,3,1
20.55,6,0,0,12,33,51,0,1,3,0
8.89,6,1,0,12,18,36,0,1,3,0
6.25,1,0,0,14,2,22,0,0,3,0
4.15,4,0,0,11,4,21,0,1,3,0
4,6,0,0,12,4,22,0,0,3,0
5.1,6,1,0,8,21,35,1,1,2,0
9.1,3,0,0,13,16,35,0,0,2,0
3.45,4,0,0,13,1,20,1,0,1,1
4.5,1,0,0,12,3,21,1,1,3,0
12,5,0,1,18,23,47,0,1,3,0
4.5,4,0,0,7,14,27,0,1,2,1
6,4,0,0,15,26,47,1,0,3,1
6.5,6,0,0,11,17,34,0,0,3,0
6.25,5,0,0,18,27,51,0,1,1,0
9.6,3,0,1,9,33,48,0,0,3,0
10,6,1,1,12,22,40,0,0,1,0
10,6,0,1,12,11,29,0,1,3,0
15.73,5,1,0,16,4,26,0,1,3,0
17.5,5,0,0,16,13,35,0,1,1,1
12.5,2,1,0,12,43,61,0,1,3,0
5.25,6,0,0,12,2,20,0,0,3,0
12.47,6,0,1,13,10,29,0,1,3,0
18,5,0,0,16,38,60,0,1,3,1
5.5,4,0,0,12,10,28,0,1,3,0
18.5,6,1,0,14,13,33,1,0,3,0
12,5,0,1,18,18,42,1,1,3,0
13.71,2,0,1,12,43,61,0,1,3,0
16,5,0,0,12,12,30,0,1,3,1
4,4,0,0,16,20,42,1,0,3,0
26.29,1,0,0,17,32,55,0,1,3,1
10,5,2,1,13,34,53,0,1,3,0
7.78,5,0,0,16,6,28,1,1,3,0
6,3,0,0,12,19,37,1,1,3,0
24.98,5,0,0,17,18,41,0,1,2,0
4.5,2,0,0,14,14,34,0,1,3,0
8.75,6,0,0,13,18,37,0,1,3,0
7.67,5,0,0,15,11,32,1,1,3,0
6,3,0,0,13,31,50,0,0,3,0
8.89,4,0,0,8,29,43,1,0,1,0
6,6,2,0,12,8,26,0,0,3,0
14.29,2,0,0,14,32,52,1,1,3,0
10.43,3,0,0,14,15,35,1,1,3,1
13.16,1,0,0,12,38,56,1,1,3,0
19.98,2,0,0,14,44,64,0,1,3,1
8.93,6,0,0,12,18,36,1,1,3,0
4.5,1,0,0,12,7,25,1,1,3,0
20.4,5,1,0,17,3,26,0,0,3,0
8,4,0,1,12,43,61,1,1,1,0
5.71,6,1,1,12,16,34,1,1,3,0
10,5,0,1,16,14,36,0,1,3,1
8,5,0,0,16,17,39,1,1,2,0
19.98,6,0,0,9,29,44,0,1,3,1
3.5,4,0,1,9,47,62,0,1,3,0
8.75,4,0,0,10,19,35,0,0,3,1
15,6,2,1,12,40,58,0,1,3,0
15,5,0,1,12,39,57,0,1,3,0
9.56,6,0,0,12,23,41,0,1,3,0
8.5,6,1,0,12,13,31,0,1,3,0
12,5,0,0,12,11,29,1,1,3,0
2.85,6,0,0,12,1,19,0,0,3,0
13.33,2,0,0,18,10,34,0,1,3,0
8,3,0,0,12,14,32,1,1,3,1
6,6,0,0,12,9,27,0,1,3,0
8.56,5,0,0,14,14,34,1,1,3,0
5.62,3,0,0,14,32,52,1,1,3,0
9.63,4,0,1,14,22,42,0,1,3,0
5.26,4,0,0,8,38,52,1,1,3,0
10,3,0,0,16,7,29,1,1,3,0
8.43,3,0,0,12,12,30,0,1,3,1
10.25,1,0,0,14,26,46,1,1,3,0
16.14,1,0,0,14,16,36,0,0,3,0
3.64,1,0,0,12,42,60,1,1,3,0
4.75,2,0,0,12,10,28,1,0,3,1
5,4,0,0,12,14,32,1,1,3,0
8.93,4,0,1,8,47,61,0,1,2,0
5.5,3,0,0,12,33,51,1,1,3,0
3.5,2,0,0,14,6,26,1,1,3,1
6.67,5,0,1,16,10,32,1,0,3,0
5.5,3,0,0,12,21,39,1,0,1,0
5.62,3,0,0,13,2,21,1,1,2,0
4.8,6,1,0,9,16,31,0,0,1,0
6.93,4,0,1,12,26,44,0,1,3,0
14,5,0,0,16,16,38,1,1,3,0
4.5,6,0,0,11,14,31,0,1,1,1
21.25,1,0,0,13,32,51,0,0,3,0
11,6,1,1,16,13,35,0,1,3,0
24.98,1,0,0,16,18,40,0,1,3,0
12,5,0,0,16,14,36,1,1,3,0
23.25,5,0,1,17,25,48,1,1,1,0
4.25,3,0,0,13,0,19,1,0,3,1
4.95,6,1,0,9,42,57,1,1,3,0
13,6,0,0,12,8,26,0,1,3,0
3,3,0,0,12,28,46,1,1,3,1
11.11,3,0,0,13,13,32,0,1,3,0
10.2,5,0,1,17,26,49,1,1,3,0
9,1,0,0,16,7,29,0,1,1,0
5,6,2,0,12,6,24,0,0,3,1
5.4,5,0,0,16,10,32,1,1,3,0
6.25,6,0,0,12,6,24,1,0,3,1
22.83,5,1,0,18,37,61,1,0,3,0
11.71,3,1,0,16,42,64,1,0,3,0
7.14,4,0,0,14,17,37,0,1,3,0
13.07,6,0,1,13,9,28,0,0,3,0
5.75,5,0,0,12,21,39,1,1,3,1
7,6,2,0,10,9,25,0,1,3,1
4.85,3,0,0,12,14,32,1,1,3,1
11.5,2,0,0,16,16,38,0,1,3,0
4.5,6,1,0,12,15,33,1,0,3,0
6.5,4,0,0,11,39,56,0,1,3,1
5.75,3,0,0,12,15,33,1,1,3,0
9.37,1,0,0,16,26,48,1,1,3,0
3.5,3,0,0,12,35,53,0,1,3,0
16.65,1,0,0,14,21,41,0,1,3,1
20,5,0,1,16,28,50,1,1,3,1
22,5,0,0,14,15,35,0,1,3,1
6,5,0,1,17,3,26,1,0,3,0
3.75,6,1,0,12,6,24,1,1,1,1
9.86,5,0,0,15,13,34,0,1,3,0
22.5,1,0,0,15,12,33,0,1,3,0
9.37,5,0,1,17,7,30,0,1,3,0
4.55,4,0,0,8,45,59,1,0,3,1
5.5,6,1,0,12,11,29,1,0,3,0
7.5,3,0,0,12,20,38,1,0,3,1
12.16,3,0,0,12,32,50,1,1,1,1
15,5,0,0,18,12,36,0,1,3,0
6.85,3,0,0,12,8,26,0,0,1,0
9.83,6,1,0,12,23,41,0,1,3,0
8.85,3,0,1,14,19,39,1,1,1,0
6.73,6,1,0,12,2,20,0,1,3,1
4.62,6,1,0,6,33,45,1,0,1,1
13.45,1,0,0,16,8,30,0,0,1,0
7.88,3,0,0,16,17,39,0,1,1,0
5.5,4,0,0,12,20,38,0,1,3,1
5.4,3,1,0,12,18,36,1,1,3,0
13.26,6,0,1,12,16,34,0,1,3,0
15,6,2,1,12,33,51,0,1,3,0
4.22,6,1,0,8,39,53,1,1,3,1
22.5,1,0,0,16,22,44,0,1,3,0
8,3,0,0,12,8,26,1,0,3,0
3.98,4,0,0,14,6,26,1,0,3,0
11,6,1,1,14,14,34,0,1,3,1
7.65,4,0,0,12,20,38,0,0,3,0
