sex,length,diameter,height,weight_whole,weight_shucked,weight_viscera,weight_shell,rings
M,0.505,0.4,0.15,0.775,0.3445,0.157,0.185,7
M,0.605,0.475,0.145,0.884,0.3835,0.1905,0.27,8
M,0.655,0.485,0.195,1.62,0.6275,0.358,0.485,17
F,0.625,0.47,0.145,0.984,0.475,0.2,0.265,11
M,0.555,0.44,0.14,0.8705,0.407,0.156,0.255,9
F,0.605,0.48,0.14,0.991,0.4735,0.2345,0.24,8
F,0.58,0.425,0.15,0.844,0.3645,0.185,0.2705,9
M,0.525,0.425,0.12,0.8665,0.2825,0.176,0.29,18
M,0.625,0.505,0.185,1.1565,0.52,0.2405,0.3535,10
M,0.425,0.35,0.105,0.393,0.13,0.063,0.165,9
M,0.375,0.29,0.1,0.276,0.1175,0.0565,0.085,9
M,0.555,0.435,0.14,0.7495,0.341,0.1645,0.214,8
M,0.775,0.63,0.25,2.7795,1.3485,0.76,0.578,12
F,0.565,0.505,0.21,1.2765,0.501,0.279,0.355,12
M,0.575,0.45,0.13,0.785,0.318,0.193,0.2265,9
M,0.585,0.465,0.16,0.9555,0.4595,0.236,0.265,7
F,0.525,0.425,0.14,0.8735,0.4205,0.182,0.2225,10
F,0.64,0.5,0.17,1.12,0.4955,0.2645,0.32,12
M,0.6,0.47,0.175,1.105,0.4865,0.247,0.315,15
F,0.66,0.525,0.19,1.67,0.6525,0.4875,0.49,11
M,0.57,0.445,0.15,0.9875,0.504,0.207,0.249,8
M,0.62,0.475,0.195,1.3585,0.5935,0.3365,0.3745,10
F,0.46,0.375,0.12,0.4605,0.1775,0.11,0.15,7
M,0.625,0.455,0.17,1.082,0.4955,0.2345,0.315,9
M,0.68,0.52,0.175,1.543,0.7525,0.351,0.374,11
M,0.615,0.455,0.13,0.9685,0.49,0.182,0.2655,10
M,0.69,0.53,0.21,1.583,0.7355,0.405,0.3865,12
F,0.56,0.455,0.19,0.714,0.283,0.129,0.275,9
F,0.565,0.44,0.155,0.9395,0.4275,0.214,0.27,12
M,0.51,0.405,0.15,0.7035,0.347,0.134,0.1885,8
F,0.58,0.455,0.16,0.9215,0.312,0.196,0.3,17
F,0.38,0.325,0.11,0.3105,0.12,0.074,0.105,10
M,0.685,0.535,0.175,1.432,0.637,0.247,0.46,11
F,0.6,0.475,0.155,1.059,0.441,0.19,0.39,11
M,0.73,0.575,0.21,2.069,0.9285,0.409,0.643,11
F,0.505,0.375,0.115,0.5895,0.2635,0.12,0.167,10
M,0.455,0.355,0.13,0.515,0.2,0.1275,0.175,11
F,0.535,0.42,0.13,0.699,0.3125,0.1565,0.2035,8
M,0.5,0.42,0.125,0.62,0.255,0.15,0.205,11
M,0.625,0.495,0.155,1.025,0.46,0.1945,0.34,9
M,0.63,0.505,0.225,1.525,0.56,0.3335,0.45,15
F,0.525,0.43,0.135,0.8435,0.4325,0.18,0.1815,9
M,0.45,0.335,0.14,0.478,0.1865,0.115,0.16,11
F,0.63,0.505,0.165,1.065,0.4595,0.216,0.315,12
M,0.625,0.49,0.165,1.205,0.5175,0.3105,0.3465,10
F,0.555,0.435,0.165,0.97,0.336,0.2315,0.295,17
F,0.72,0.575,0.195,2.1505,1.0745,0.382,0.585,10
F,0.655,0.545,0.185,1.759,0.6865,0.313,0.547,11
F,0.705,0.56,0.205,2.381,0.9915,0.5005,0.624,10
F,0.41,0.305,0.1,0.363,0.1735,0.065,0.11,11
M,0.46,0.34,0.135,0.495,0.1655,0.117,0.185,10
M,0.645,0.515,0.24,1.5415,0.471,0.369,0.535,13
F,0.575,0.45,0.1,0.9315,0.431,0.222,0.235,12
M,0.595,0.475,0.14,1.0305,0.4925,0.217,0.278,10
M,0.74,0.57,0.18,1.8725,0.9115,0.427,0.446,10
M,0.635,0.525,0.185,1.4065,0.684,0.3,0.3745,10
F,0.545,0.415,0.2,1.358,0.567,0.318,0.403,10
F,0.64,0.5,0.15,1.0705,0.371,0.2705,0.36,8
M,0.65,0.505,0.19,1.274,0.59,0.23,0.391,11
F,0.67,0.53,0.205,1.4015,0.643,0.2465,0.416,12
M,0.675,0.52,0.145,1.3645,0.557,0.3405,0.385,11
F,0.705,0.55,0.17,1.219,0.6395,0.236,0.301,9
F,0.45,0.35,0.125,0.4435,0.185,0.09,0.145,11
F,0.57,0.44,0.125,0.865,0.3675,0.1725,0.27,12
M,0.515,0.42,0.14,0.769,0.2505,0.154,0.29,13
M,0.57,0.48,0.18,0.9395,0.399,0.2,0.295,14
F,0.63,0.48,0.16,1.199,0.5265,0.335,0.315,11
M,0.465,0.35,0.12,0.5205,0.2015,0.1625,0.185,11
M,0.355,0.26,0.085,0.1905,0.081,0.0485,0.055,6
F,0.545,0.385,0.15,1.1185,0.5425,0.2445,0.2845,9
M,0.63,0.515,0.175,1.1955,0.492,0.247,0.37,11
F,0.63,0.48,0.15,1.0525,0.392,0.336,0.285,12
F,0.405,0.325,0.11,0.3555,0.151,0.063,0.117,9
M,0.565,0.445,0.145,0.9255,0.4345,0.212,0.2475,9
M,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33,10
M,0.5,0.355,0.14,0.528,0.2125,0.149,0.14,9
F,0.74,0.565,0.205,2.119,0.9655,0.5185,0.482,12
M,0.605,0.475,0.19,1.1255,0.59,0.247,0.26,10
F,0.51,0.375,0.11,0.5805,0.2865,0.118,0.148,7
M,0.65,0.525,0.185,1.488,0.665,0.337,0.378,11
M,0.575,0.4,0.155,0.9325,0.3605,0.2445,0.3,17
M,0.535,0.405,0.185,0.8345,0.3175,0.1725,0.29,16
M,0.58,0.45,0.14,1.013,0.38,0.216,0.36,14
F,0.435,0.35,0.105,0.4195,0.194,0.1005,0.13,7
F,0.475,0.38,0.14,0.689,0.3165,0.1315,0.1955,7
M,0.57,0.46,0.14,0.9535,0.4465,0.2065,0.245,12
F,0.51,0.4,0.13,0.5735,0.219,0.1365,0.195,13
M,0.44,0.35,0.14,0.451,0.171,0.0705,0.184,16
F,0.66,0.53,0.185,1.3485,0.493,0.245,0.49,12
M,0.475,0.385,0.12,0.562,0.289,0.0905,0.153,8
F,0.71,0.565,0.195,1.817,0.785,0.492,0.49,11
M,0.54,0.41,0.145,0.989,0.2815,0.213,0.355,19
M,0.575,0.46,0.155,0.892,0.4415,0.176,0.22,10
F,0.65,0.49,0.155,1.122,0.545,0.228,0.3055,9
F,0.64,0.475,0.14,1.0725,0.4895,0.2295,0.31,8
F,0.725,0.565,0.21,2.1425,1.03,0.487,0.503,14
M,0.68,0.54,0.195,1.7825,0.5565,0.3235,0.4285,11
M,0.435,0.335,0.11,0.4385,0.2075,0.0715,0.1315,7
F,0.68,0.58,0.2,1.787,0.585,0.453,0.6,19
M,0.595,0.455,0.15,0.886,0.4315,0.201,0.223,10
M,0.615,0.47,0.16,1.0175,0.473,0.2395,0.28,10
F,0.61,0.49,0.17,1.3475,0.7045,0.25,0.3045,11
F,0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22,10
F,0.39,0.3,0.1,0.265,0.1075,0.06,0.0865,13
M,0.725,0.575,0.24,2.21,1.351,0.413,0.5015,13
F,0.66,0.515,0.18,1.523,0.54,0.3365,0.555,16
M,0.68,0.52,0.165,1.4775,0.724,0.279,0.406,11
M,0.665,0.535,0.155,1.383,0.596,0.2565,0.485,14
F,0.665,0.5,0.175,1.4355,0.643,0.345,0.37,9
M,0.475,0.375,0.125,0.593,0.277,0.115,0.18,10
M,0.505,0.365,0.115,0.521,0.25,0.096,0.15,8
F,0.455,0.37,0.105,0.4925,0.216,0.1245,0.135,9
F,0.735,0.6,0.22,2.555,1.1335,0.44,0.6,11
M,0.57,0.465,0.125,0.849,0.3785,0.1765,0.24,15
F,0.595,0.455,0.155,1.0605,0.5135,0.2165,0.3,12
F,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,19
M,0.565,0.455,0.15,0.9595,0.4565,0.2395,0.23,9
F,0.6,0.48,0.18,1.0645,0.4495,0.2455,0.325,10
M,0.635,0.5,0.17,1.4345,0.611,0.309,0.418,12
F,0.6,0.505,0.19,1.129,0.4385,0.256,0.36,13
M,0.705,0.565,0.515,2.21,1.1075,0.4865,0.512,10
M,0.645,0.515,0.16,1.1845,0.506,0.311,0.335,9
F,0.375,0.295,0.11,0.3005,0.1255,0.0575,0.1035,7
M,0.58,0.455,0.15,1.012,0.4985,0.2115,0.2835,10
F,0.655,0.49,0.16,1.204,0.5455,0.2615,0.3225,9
F,0.575,0.485,0.165,1.0405,0.419,0.264,0.3,14
M,0.65,0.515,0.18,1.3315,0.5665,0.347,0.405,13
M,0.51,0.4,0.14,0.6905,0.259,0.151,0.23,10
F,0.6,0.475,0.15,1.13,0.575,0.196,0.305,9
M,0.48,0.37,0.1,0.5135,0.243,0.1015,0.135,8
F,0.585,0.45,0.16,1.077,0.4995,0.2875,0.25,10
F,0.63,0.5,0.185,1.383,0.54,0.3315,0.38,10
F,0.595,0.47,0.25,1.283,0.462,0.2475,0.445,14
M,0.58,0.455,0.195,1.859,0.945,0.426,0.441,9
F,0.37,0.29,0.115,0.25,0.111,0.057,0.075,9
F,0.62,0.5,0.175,1.107,0.4895,0.24,0.343,11
F,0.545,0.44,0.135,0.9185,0.429,0.2015,0.2375,10
F,0.52,0.405,0.115,0.776,0.32,0.1845,0.22,8
M,0.635,0.51,0.155,1.156,0.428,0.289,0.315,18
F,0.635,0.51,0.175,1.2125,0.5735,0.261,0.36,14
F,0.72,0.575,0.18,1.6705,0.732,0.3605,0.501,12
M,0.62,0.495,0.18,1.2555,0.5765,0.254,0.355,12
F,0.44,0.355,0.115,0.415,0.1585,0.0925,0.131,11
M,0.64,0.51,0.17,1.3715,0.567,0.307,0.409,10
F,0.57,0.445,0.155,0.733,0.282,0.159,0.235,14
F,0.55,0.465,0.15,1.082,0.3575,0.194,0.19,14
F,0.635,0.505,0.145,1.1345,0.505,0.2655,0.315,10
M,0.645,0.525,0.16,1.5075,0.7455,0.245,0.4325,11
M,0.63,0.53,0.18,1.2795,0.618,0.256,0.315,9
M,0.55,0.435,0.11,0.806,0.3415,0.203,0.215,9
F,0.655,0.51,0.155,1.2895,0.5345,0.2855,0.41,11
F,0.78,0.63,0.215,2.657,1.488,0.4985,0.586,11
M,0.63,0.51,0.175,1.3415,0.6575,0.262,0.375,10
M,0.595,0.49,0.185,1.185,0.482,0.2015,0.361,10
M,0.5,0.38,0.155,0.66,0.2655,0.1365,0.215,19
M,0.7,0.55,0.195,1.6245,0.675,0.347,0.535,13
M,0.685,0.55,0.19,1.885,0.89,0.41,0.4895,10
M,0.63,0.49,0.16,1.09,0.407,0.224,0.354,12
F,0.64,0.54,0.175,1.221,0.51,0.259,0.39,15
F,0.58,0.455,0.12,1.0735,0.479,0.2735,0.265,10
M,0.65,0.525,0.185,1.3455,0.586,0.278,0.3865,9
F,0.655,0.545,0.165,1.6225,0.6555,0.299,0.513,12
F,0.6,0.47,0.19,1.1345,0.492,0.2595,0.3375,10
F,0.695,0.535,0.2,1.5855,0.667,0.334,0.471,11
M,0.575,0.46,0.165,0.9155,0.4005,0.2465,0.2385,8
F,0.435,0.35,0.12,0.4585,0.192,0.1,0.13,11
F,0.645,0.525,0.19,1.4635,0.6615,0.3435,0.435,19
M,0.565,0.44,0.185,0.909,0.344,0.2325,0.255,15
M,0.45,0.335,0.14,0.4625,0.164,0.076,0.15,14
F,0.55,0.43,0.14,0.7135,0.2565,0.186,0.225,9
F,0.535,0.42,0.15,0.7365,0.2785,0.186,0.215,14
F,0.67,0.52,0.195,1.8065,0.758,0.3735,0.5055,11
M,0.595,0.47,0.155,1.2015,0.492,0.3865,0.265,10
M,0.62,0.485,0.145,1.003,0.4655,0.2195,0.28,11
M,0.625,0.505,0.175,1.131,0.5425,0.2265,0.323,8
M,0.65,0.525,0.185,1.622,0.6645,0.3225,0.477,10
M,0.63,0.515,0.16,1.016,0.4215,0.244,0.355,19
M,0.58,0.43,0.125,0.9115,0.446,0.2075,0.121,10
M,0.6,0.475,0.175,1.11,0.5105,0.256,0.285,9
M,0.72,0.58,0.19,2.0885,0.9955,0.478,0.5305,13
M,0.58,0.465,0.175,1.035,0.401,0.1865,0.385,17
F,0.605,0.465,0.155,1.1,0.547,0.2665,0.2585,10
M,0.535,0.42,0.165,0.9195,0.3355,0.1985,0.26,16
M,0.68,0.54,0.19,1.623,0.7165,0.354,0.4715,12
M,0.51,0.415,0.145,0.751,0.3295,0.1835,0.203,8
M,0.69,0.54,0.185,1.71,0.7725,0.3855,0.4325,8
M,0.405,0.305,0.085,0.2605,0.1145,0.0595,0.085,8
M,0.535,0.42,0.125,0.738,0.355,0.1895,0.1795,8
M,0.67,0.54,0.175,1.482,0.739,0.2925,0.365,10
M,0.62,0.465,0.185,1.274,0.579,0.3065,0.32,12
F,0.51,0.34,0.18,0.7005,0.312,0.165,0.2,11
M,0.53,0.425,0.13,0.7455,0.2995,0.1355,0.245,10
M,0.58,0.465,0.15,0.9065,0.371,0.1965,0.29,8
M,0.58,0.45,0.14,0.9615,0.486,0.1815,0.253,9
F,0.625,0.47,0.17,1.255,0.525,0.2415,0.405,10
F,0.635,0.525,0.18,1.3695,0.634,0.318,0.363,11
F,0.61,0.48,0.16,1.234,0.598,0.238,0.315,12
M,0.725,0.57,0.19,2.55,1.0705,0.483,0.725,14
M,0.47,0.37,0.135,0.547,0.222,0.1325,0.17,12
F,0.565,0.45,0.195,1.0035,0.406,0.2505,0.285,15
M,0.535,0.41,0.12,0.6835,0.3125,0.1655,0.159,8
M,0.55,0.45,0.15,1.0145,0.407,0.2015,0.2875,10
F,0.535,0.46,0.145,0.7875,0.3395,0.2005,0.2,8
M,0.64,0.515,0.08,1.042,0.515,0.1755,0.175,10
M,0.6,0.495,0.185,1.1145,0.5055,0.2635,0.367,11
M,0.54,0.435,0.14,0.7345,0.33,0.1595,0.213,9
M,0.53,0.42,0.135,0.675,0.294,0.156,0.1825,10
F,0.545,0.4,0.14,0.778,0.368,0.215,0.18,9
M,0.735,0.59,0.205,2.087,0.909,0.474,0.625,12
M,0.59,0.46,0.14,1.004,0.496,0.2165,0.26,9
M,0.625,0.47,0.17,1.1665,0.4605,0.2565,0.3945,11
M,0.565,0.44,0.155,0.868,0.348,0.217,0.26,11
F,0.67,0.525,0.195,1.37,0.6065,0.2955,0.407,12
F,0.655,0.5,0.18,1.4155,0.508,0.314,0.445,18
M,0.64,0.485,0.16,1.006,0.456,0.2245,0.2835,9
F,0.6,0.475,0.18,1.1805,0.4345,0.2475,0.425,19
M,0.59,0.455,0.145,1.073,0.475,0.19,0.285,14
F,0.58,0.45,0.145,1.137,0.5585,0.22,0.29,8
F,0.42,0.32,0.13,0.4135,0.1645,0.106,0.119,10
M,0.35,0.255,0.085,0.2145,0.1,0.0465,0.06,13
M,0.52,0.4,0.12,0.823,0.298,0.1805,0.265,15
F,0.435,0.325,0.11,0.4335,0.178,0.0985,0.155,7
M,0.58,0.47,0.165,0.927,0.3215,0.1985,0.315,11
M,0.54,0.405,0.155,0.9715,0.3225,0.194,0.29,19
F,0.525,0.405,0.16,0.658,0.2655,0.1125,0.225,12
M,0.7,0.545,0.185,1.6135,0.75,0.4035,0.3685,11
F,0.62,0.51,0.15,1.456,0.581,0.2875,0.32,13
F,0.38,0.3,0.09,0.3215,0.1545,0.075,0.095,9
M,0.5,0.39,0.13,0.709,0.275,0.168,0.18,11
M,0.55,0.405,0.14,0.8025,0.244,0.1635,0.255,10
M,0.595,0.48,0.14,0.9125,0.4095,0.1825,0.289,9
F,0.61,0.49,0.17,1.1775,0.5655,0.2385,0.295,15
M,0.6,0.46,0.18,1.14,0.423,0.2575,0.365,10
F,0.49,0.375,0.15,0.5755,0.22,0.144,0.19,9
M,0.6,0.46,0.17,1.1805,0.456,0.337,0.329,11
F,0.475,0.36,0.125,0.447,0.1695,0.081,0.14,9
F,0.525,0.415,0.14,0.724,0.3475,0.173,0.175,8
M,0.615,0.48,0.19,1.36,0.5305,0.2375,0.47,18
M,0.595,0.475,0.14,0.944,0.3625,0.189,0.315,9
F,0.585,0.465,0.145,0.9855,0.4325,0.2145,0.2845,10
F,0.69,0.56,0.215,1.719,0.68,0.299,0.47,17
F,0.515,0.415,0.14,0.6935,0.3115,0.152,0.2,10
F,0.62,0.475,0.16,1.1295,0.463,0.2685,0.33,10
F,0.47,0.355,0.13,0.5465,0.2005,0.126,0.185,14
F,0.58,0.45,0.15,0.92,0.393,0.212,0.2895,9
M,0.55,0.46,0.175,0.869,0.3155,0.1825,0.32,10
M,0.63,0.49,0.15,1.1955,0.5845,0.257,0.3,9
F,0.58,0.44,0.125,0.7855,0.363,0.1955,0.195,11
M,0.545,0.44,0.12,0.8565,0.3475,0.1715,0.24,12
M,0.44,0.335,0.11,0.394,0.157,0.096,0.122,9
M,0.625,0.495,0.18,1.0815,0.4715,0.254,0.3135,10
F,0.645,0.51,0.155,1.129,0.5015,0.24,0.342,10
M,0.56,0.44,0.13,0.8255,0.2425,0.202,0.285,10
F,0.41,0.315,0.11,0.321,0.1255,0.0655,0.095,10
M,0.7,0.6,0.23,2.003,0.8105,0.4045,0.5755,10
F,0.48,0.375,0.105,0.525,0.2185,0.1195,0.155,12
F,0.49,0.355,0.16,0.8795,0.3485,0.215,0.2825,8
M,0.57,0.455,0.175,1.02,0.4805,0.2145,0.29,9
F,0.575,0.46,0.15,0.927,0.333,0.207,0.2985,9
F,0.48,0.39,0.125,0.6905,0.219,0.155,0.2,12
F,0.665,0.505,0.16,1.2915,0.631,0.2925,0.32,11
F,0.635,0.535,0.19,1.242,0.576,0.2475,0.39,14
M,0.675,0.525,0.185,1.587,0.6935,0.336,0.395,13
M,0.5,0.375,0.15,0.636,0.2535,0.145,0.19,10
M,0.705,0.56,0.165,1.675,0.797,0.4095,0.388,10
F,0.635,0.485,0.155,1.073,0.467,0.1975,0.35,11
F,0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,9
F,0.64,0.48,0.145,1.1145,0.508,0.24,0.34,10
F,0.64,0.5,0.165,1.1635,0.554,0.239,0.32,11
M,0.625,0.495,0.175,1.254,0.5815,0.286,0.3185,9
F,0.555,0.455,0.18,0.958,0.296,0.195,0.39,14
M,0.46,0.36,0.135,0.6105,0.1955,0.107,0.235,14
F,0.6,0.46,0.145,0.9325,0.3985,0.2245,0.248,8
M,0.49,0.42,0.125,0.609,0.239,0.1435,0.22,14
F,0.465,0.38,0.135,0.579,0.208,0.1095,0.22,14
F,0.62,0.51,0.205,1.3475,0.4775,0.2565,0.48,14
F,0.685,0.545,0.18,1.768,0.7495,0.392,0.485,16
F,0.57,0.45,0.16,0.9715,0.3965,0.255,0.26,12
F,0.625,0.49,0.165,1.127,0.477,0.2365,0.3185,9
F,0.35,0.265,0.09,0.1855,0.0745,0.0415,0.06,7
M,0.535,0.44,0.15,0.6765,0.256,0.139,0.26,12
F,0.655,0.54,0.215,1.5555,0.695,0.296,0.444,11
M,0.515,0.35,0.155,0.9225,0.4185,0.198,0.273,9
F,0.43,0.35,0.09,0.397,0.1575,0.089,0.12,9
F,0.68,0.505,0.17,1.3435,0.657,0.297,0.355,12
M,0.565,0.465,0.175,0.995,0.3895,0.183,0.37,15
M,0.415,0.305,0.1,0.325,0.156,0.0505,0.091,6
M,0.6,0.45,0.145,0.877,0.4325,0.155,0.24,9
M,0.55,0.43,0.15,0.8745,0.413,0.1905,0.248,9
M,0.46,0.365,0.125,0.467,0.1895,0.0945,0.158,10
